season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",3000mRelay,w,Heats,1,1,4,,301,CANADA,7312,CAN,4:07.933,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",3000mRelay,w,Heats,1,2,2,,311,UNITEDSTATES,7316,USA,4:13.836,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",3000mRelay,w,Heats,1,3,1,,310,RUSSIA,7315,RUS,4:14.729,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",3000mRelay,w,Heats,1,4,3,,309,POLAND,7332,POL,4:18.193,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",3000mRelay,w,Heats,2,1,3,,306,JAPAN,7304,JPN,4:13.054,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",3000mRelay,w,Heats,2,2,1,,305,ITALY,7317,ITA,4:13.230,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",3000mRelay,w,Heats,2,3,4,,304,HUNGARY,7323,HUN,4:14.601,q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",3000mRelay,w,Heats,2,4,2,,303,GERMANY,7313,GER,4:14.758,
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",3000mRelay,w,Heats,3,1,1,,307,KOREA,7314,KOR,4:12.389,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",3000mRelay,w,Heats,3,2,2,,302,CHINA,7311,CHN,4:13.136,Q
2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",3000mRelay,w,Heats,3,3,3,,308,NETHERLANDS,7322,NED,4:13.833,q
