season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),3000mRelay,w,Quarterfinals,1,1,3,,308,NETHERLANDS,9040,NED,4:13.441,Q,
2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),3000mRelay,w,Quarterfinals,1,2,2,,304,FRANCE,9042,FRA,4:13.531,Q,
2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),3000mRelay,w,Quarterfinals,1,3,1,,309,POLAND,9041,POL,4:13.596,q,
2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),3000mRelay,w,Quarterfinals,1,4,4,,302,CROATIA,9326,CRO,4:34.464,,
2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),3000mRelay,w,Quarterfinals,2,1,1,,310,RUSSIA,9046,RUS,4:14.518,Q,
2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),3000mRelay,w,Quarterfinals,2,2,2,,305,GERMANY,9080,GER,4:17.069,Q,
2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),3000mRelay,w,Quarterfinals,2,3,3,,303,CZECHREPUBLIC,9065,CZE,4:20.867,q,
2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),3000mRelay,w,Quarterfinals,3,1,2,,307,ITALY,9039,ITA,4:21.226,Q,
2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),3000mRelay,w,Quarterfinals,3,2,1,,306,HUNGARY,9043,HUN,4:21.314,Q,
2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),3000mRelay,w,Quarterfinals,3,3,4,,311,UKRAINE,9050,UKR,4:30.247,,
2018-2019,ISU European Short Track Championships 2019 - Dordrecht (NED),3000mRelay,w,Quarterfinals,3,4,3,,301,BELARUS,9079,BLR,4:34.034,,
