season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,1,1,3,,318,HUNGARY,9043,HUN,4:16.136,Q
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,1,2,2,,324,KAZAKHSTAN,9149,KAZ,4:20.239,Q
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,1,3,4,,335,UKRAINE,9050,UKR,4:50.174,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,1,PEN,1,,309,CHINA,9048,CHN,PEN,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,2,1,2,,333,RUSSIA,9046,RUS,4:16.097,Q
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,2,2,4,,320,ITALY,9039,ITA,4:16.196,Q
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,2,3,1,,314,GERMANY,9080,GER,4:16.234,q
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,2,4,3,,304,BELARUS,9079,BLR,4:25.186,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,3,1,1,,307,CANADA,9049,CAN,4:12.492,Q
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,3,2,4,,322,JAPAN,9047,JPN,4:14.468,Q
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,3,3,3,,311,CZECHREPUBLIC,9065,CZE,4:24.690,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,3,4,2,,310,CROATIA,9326,CRO,4:39.423,
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,4,1,3,,329,NETHERLANDS,9040,NED,4:12.739,Q
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,4,2,1,,312,FRANCE,9042,FRA,4:17.112,Q
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,4,3,2,,337,UNITEDSTATES,9045,USA,4:17.286,q
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,5,1,1,,326,KOREA,9044,KOR,4:12.455,Q
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,5,2,3,,315,GREATBRITAIN,9171,GBR,4:25.283,Q
2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),3000mRelay,w,Heats,5,3,2,,330,POLAND,9041,POL,4:25.907,
