season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",3000mRelay,w,Heats,1,1,3,,262,ITALY,7317,ITA,4:17.138,Q
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",3000mRelay,w,Heats,1,2,2,,258,CANADA,7312,CAN,4:17.416,Q
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",3000mRelay,w,Heats,1,3,4,,265,NETHERLANDS,7322,NED,4:17.550,q
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",3000mRelay,w,Heats,1,4,1,,260,GERMANY,7313,GER,4:18.000,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",3000mRelay,w,Heats,2,1,2,,264,KOREA,7314,KOR,4:12.659,Q
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",3000mRelay,w,Heats,2,2,1,,268,UNITEDSTATES,7316,USA,4:23.846,Q
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",3000mRelay,w,Heats,2,3,4,,257,BULGARIA,7335,BUL,4:25.341,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",3000mRelay,w,Heats,2,4,3,,266,POLAND,7332,POL,4:27.069,
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",3000mRelay,w,Heats,3,2,3,,263,JAPAN,7304,JPN,4:16.007,Q
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",3000mRelay,w,Heats,3,3,4,,267,RUSSIA,7315,RUS,4:18.151,q
2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",3000mRelay,w,Heats,3,4,2,,261,HUNGARY,7323,HUN,4:19.132,
