season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2014-2015,ISU World Cup 2014/15 - Seoul (KOR),5000mRelay,m,FinalA,1,1,1,,410,NETHERLANDS,7321,NED,7:01.210,
2014-2015,ISU World Cup 2014/15 - Seoul (KOR),5000mRelay,m,FinalA,1,2,2,,402,CANADA,7309,CAN,7:01.373,
2014-2015,ISU World Cup 2014/15 - Seoul (KOR),5000mRelay,m,FinalA,1,3,4,,403,CHINA,7303,CHN,7:01.524,
