season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
1996-1997,1997 World Championships,5000MRelay,m,Heats,1,1,1,,,ITALY,7301,ITA,4:11.062,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,1,2,2,,,GREATBRITAIN,7320,GBR,4:17.661,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,1,3,3,,,NETHERLANDS,7321,NED,4:19.399,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,2,1,1,,,KOREA,7300,KOR,4:10.428,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,2,2,2,,,JAPAN,7304,JPN,4:12.029,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,2,3,3,,,FRANCE,7319,FRA,4:14.872,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,2,4,4,,,SOUTHAFRICA,8315,RSA,4:40.998,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,3,1,2,,,CHINA,7303,CHN,4:14.701,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,3,2,1,,,AUSTRALIA,7305,AUS,4:19.683,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,3,3,3,,,GERMANY,7302,GER,4:24.519,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,3,4,4,,,HUNGARY,7324,HUN,4:32.288,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,4,1,1,,,CANADA,7309,CAN,4:11.893,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,4,2,2,,,UNITEDSTATES,7306,USA,4:12.036,,
1996-1997,1997 World Championships,5000MRelay,m,Heats,4,3,3,,,RUSSIA,7307,RUS,4:17.928,,
