season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
1998-1999,1999 World Championships,1000M,w,QuarterFinals,1,1,2,,,YANGsYang,6651,CHN,1:38.089,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,1,2,1,,,KIMMoon-Jung,6868,KOR,1:38.169,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,1,3,3,,,EvgeniaRADANOVA,6775,BUL,1:38.243,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,1,4,4,,,IsabelleCHAREST,6700,CAN,1:39.497,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,2,1,1,,,AnniePERREAULT,6660,CAN,1:38.071,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,2,2,3,,,WANGChunlu,6648,CHN,1:38.094,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,2,3,4,,,DebbiePALMER,6638,GBR,1:38.244,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,2,4,2,,,ChikageTANAKA,6314,JPN,1:38.250,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,3,1,2,,,YANGAYang,6649,CHN,1:37.675,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,3,2,1,,,AmyPETERSON,6528,USA,1:37.752,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,3,3,3,,,MarinellaCANCLINI,6327,ITA,1:38.024,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,3,4,4,,,YvonneKUNZE,6363,GER,1:38.109,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,4,1,2,,,KIMYun-Mi,6480,KOR,1:38.795,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,4,2,4,,,ChristineBOUDRIAS,7061,CAN,1:39.193,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,4,3,3,,,KatiaCOLTURI,6760,ITA,1:39.274,,
1998-1999,1999 World Championships,1000M,w,QuarterFinals,4,4,1,,,CHOIMin-Kyung,6548,KOR,1:39.439,,
