season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,3000mRelay,m,Quarterfinals,1,1,1,,625,CHINA,9022,CHN,4:07.241,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,3000mRelay,m,Quarterfinals,1,2,3,,626,BELGIUM,9013,BEL,4:07.778,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,3000mRelay,m,Quarterfinals,1,3,2,,617,NETHERLANDS,9027,NED,4:08.428,q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,3000mRelay,m,Quarterfinals,1,4,4,,633,LATVIA,9034,LAT,4:20.180,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,3000mRelay,m,Quarterfinals,2,1,1,,638,JAPAN,9024,JPN,4:05.014,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,3000mRelay,m,Quarterfinals,2,2,2,,637,FRANCE,9018,FRA,4:09.401,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,3000mRelay,m,Quarterfinals,2,3,4,,632,KAZAKHSTAN,9025,KAZ,4:09.634,q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,3000mRelay,m,Quarterfinals,2,4,3,,634,TURKEY,9030,TUR,4:24.962,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,3000mRelay,m,Quarterfinals,3,1,2,,630,KOREA,9026,KOR,4:06.178,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,3000mRelay,m,Quarterfinals,3,2,1,,621,RUSSIA,9029,RUS,4:06.903,Q,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,3000mRelay,m,Quarterfinals,3,3,4,,635,ITALY,9023,ITA,4:11.310,,
2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,3000mRelay,m,Quarterfinals,3,4,3,,636,CANADA,9016,CAN,4:15.122,,
