season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1,1,1,,138,ShaolinSandorLIU,7928,HUN,2:28.967,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1,2,5,,150,YOSHINAGAKazuki,8745,JPN,2:29.052,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1,3,2,,153,KuandykSULEYMENOV,8624,KAZ,2:29.660,q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1,4,3,,162,deVinWONG,8401,MAS,2:38.746,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,1,5,4,,176,IvanMOJSILOVIC,8640,SRB,2:38.989,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,2,1,4,,116,AlexanderFATHOULLIN,8546,CAN,2:19.582,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,2,2,1,,122,XUHongzhi,8070,CHN,2:19.983,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,2,3,3,,163,LeonBLOEMHOF,8634,NED,2:21.070,q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,2,4,5,,182,SUJun-Peng,8643,TPE,2:26.485,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,2,5,2,,134,CHUSidneyK,8736,HKG,notime,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,2,5,6,,161,AriffRasydanMOHAMADFADZLI,8632,MAS,notime,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,3,1,1,,147,DanIWASA,8394,JPN,2:26.443,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,3,2,3,,173,AleksandrKOVAL,8512,RUS,2:26.563,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,3,3,4,,160,RobertsZVEJNIEKS,8490,LAT,2:26.895,q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,3,4,2,,101,BLUNDENKeanu,8593,AUS,2:28.665,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,3,5,5,,107,WOLFGANGMatthias,8474,AUT,2:35.237,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,3,6,6,,179,OliverRINGER,8755,SVK,2:49.317,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,4,1,3,,120,MAWei,8728,CHN,2:26.190,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,4,3,5,,189,ThomasInsukHONG,8084,USA,2:27.062,q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,4,4,6,,129,NAVARROTristan,8559,FRA,2:27.092,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,4,5,1,,144,GIORDANOMarco,8616,ITA,2:28.696,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,4,6,2,,113,GEORGIEVDimitar,8541,BUL,2:29.401,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,5,1,1,,137,ShaoangLIU,8564,HUN,2:39.891,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,5,2,2,,172,EYBOGDaniil,8661,RUS,2:40.193,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,5,3,6,,124,KOLENCMartin,8604,CRO,2:41.672,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,5,4,5,,145,LeonardoPALLA,8615,ITA,2:41.834,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,5,5,4,,148,KIKUCHIKota,8620,JPN,2:44.335,ADV,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,5,PEN,3,,185,TunaySIMSEK,8758,TUR,PEN,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,6,1,2,,157,PARKJiWon,8765,KOR,2:34.877,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,6,2,4,,187,FiratYARDIMCI,8520,TUR,2:34.973,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,6,3,6,,168,JasonCLAGUE,8636,NZL,2:37.556,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,6,4,5,,188,HANDEIVolodymyr,8525,UKR,2:38.788,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,6,5,3,,135,TSANGKeiWingKelvin,7735,HKG,2:51.963,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,6,6,1,,140,SohanSudhirTARKAR,8569,IND,2:52.427,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,7,1,1,,121,RENZiwei,8601,CHN,2:26.922,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,7,2,3,,103,JUNGHyunWoo(Andy),8575,AUS,2:27.144,Q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,7,3,4,,130,KAUFMANN-LUDWIGLeon,8391,GER,2:27.414,q,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,7,4,2,,110,PETREWard,8708,BEL,2:29.121,,
2014-2015,ISU World Junior Short Track Speed Skating Championships® 2015,1500m,m,Heats,7,5,6,,106,PhilemonRAINER,8594,AUT,notime,,
