season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),3000mRelay,w,Semifinals,1,1,3,,310,CHINA,9048,CHN,4:19.740,QA
2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),3000mRelay,w,Semifinals,1,2,2,,309,RUSSIA,9046,RUS,4:20.881,QA
2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),3000mRelay,w,Semifinals,1,3,1,,305,FRANCE,9042,FRA,4:20.990,QB
2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),3000mRelay,w,Semifinals,1,4,4,,302,ITALY,9039,ITA,4:21.558,QB
2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),3000mRelay,w,Semifinals,2,2,3,,311,CANADA,9049,CAN,4:14.733,QA
2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),3000mRelay,w,Semifinals,2,3,2,,307,NETHERLANDS,9040,NED,4:15.004,QB
2015-2016,ISU World Cup 2015/16 - Nagoya (JPN),3000mRelay,w,Semifinals,2,4,4,,306,JAPAN,9047,JPN,4:39.248,QB
