season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2008-2009,"2009 ISU World Junior Championships, Canada",3000MRelay,w,Heats,1,1,1,,190,ITALY,7317,ITA,4:18.486,Q,
2008-2009,"2009 ISU World Junior Championships, Canada",3000MRelay,w,Heats,1,2,4,,186,CANADA,7312,CAN,4:18.714,Q,
2008-2009,"2009 ISU World Junior Championships, Canada",3000MRelay,w,Heats,1,3,3,,193,POLAND,7332,POL,4:34.249,q,
2008-2009,"2009 ISU World Junior Championships, Canada",3000MRelay,w,Heats,1,4,2,,189,HUNGARY,7323,HUN,4:40.025,,
2008-2009,"2009 ISU World Junior Championships, Canada",3000MRelay,w,Heats,2,1,2,,192,KOREA,7314,KOR,4:21.547,Q,
2008-2009,"2009 ISU World Junior Championships, Canada",3000MRelay,w,Heats,2,2,1,,195,UNITEDSTATES,7316,USA,4:22.120,Q,
2008-2009,"2009 ISU World Junior Championships, Canada",3000MRelay,w,Heats,2,3,3,,194,RUSSIA,7315,RUS,4:34.306,,
2008-2009,"2009 ISU World Junior Championships, Canada",3000MRelay,w,Heats,3,1,2,,187,CHINA,7311,CHN,4:19.969,Q,
2008-2009,"2009 ISU World Junior Championships, Canada",3000MRelay,w,Heats,3,2,3,,188,GERMANY,7313,GER,4:26.989,Q,
2008-2009,"2009 ISU World Junior Championships, Canada",3000MRelay,w,Heats,3,3,1,,191,JAPAN,7304,JPN,4:27.112,q,
