season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2013-2014,ISU European Short Track Speed Skating Championships 2014,5000mRelay,m,Heats,1,1,1,,803,GREATBRITAIN,7320,GBR,6:48.440,Q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,5000mRelay,m,Heats,1,2,3,,806,ITALY,7301,ITA,6:48.557,Q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,5000mRelay,m,Heats,1,3,4,,811,UKRAINE,7308,UKR,7:01.035,q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,5000mRelay,m,Heats,1,DNF,2,,810,TURKEY,7789,TUR,DNF,,
2013-2014,ISU European Short Track Speed Skating Championships 2014,5000mRelay,m,Heats,2,1,2,,807,NETHERLANDS,7321,NED,6:52.049,Q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,5000mRelay,m,Heats,2,2,1,,802,FRANCE,7319,FRA,6:54.728,Q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,5000mRelay,m,Heats,2,3,4,,808,POLAND,7326,POL,7:01.411,,
2013-2014,ISU European Short Track Speed Skating Championships 2014,5000mRelay,m,Heats,2,4,3,,801,BELARUS,7399,BLR,7:06.441,,
2013-2014,ISU European Short Track Speed Skating Championships 2014,5000mRelay,m,Heats,3,1,1,,809,RUSSIA,7307,RUS,6:46.846,Q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,5000mRelay,m,Heats,3,2,2,,805,HUNGARY,7324,HUN,6:47.803,Q,
2013-2014,ISU European Short Track Speed Skating Championships 2014,5000mRelay,m,Heats,3,3,3,,804,GERMANY,7302,GER,6:51.867,q,
