season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2016-2017,ISU European Short Track Speed Skating Championships 2017,5000mRelay,m,Heats,1,1,2,,410,RUSSIA,9029,RUS,6:46.524,Q,
2016-2017,ISU European Short Track Speed Skating Championships 2017,5000mRelay,m,Heats,1,2,3,,404,FRANCE,9018,FRA,6:48.286,Q,
2016-2017,ISU European Short Track Speed Skating Championships 2017,5000mRelay,m,Heats,1,3,4,,402,BELARUS,9014,BLR,6:55.653,q,
2016-2017,ISU European Short Track Speed Skating Championships 2017,5000mRelay,m,Heats,1,4,1,,409,POLAND,9028,POL,7:06.532,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,5000mRelay,m,Heats,2,1,3,,406,HUNGARY,9021,HUN,6:47.634,Q,
2016-2017,ISU European Short Track Speed Skating Championships 2017,5000mRelay,m,Heats,2,2,4,,407,ITALY,9023,ITA,6:49.850,Q,
2016-2017,ISU European Short Track Speed Skating Championships 2017,5000mRelay,m,Heats,2,3,1,,411,TURKEY,9030,TUR,7:05.966,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,5000mRelay,m,Heats,2,DNS,2,,403,BULGARIA,9015,BUL,DNS,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,5000mRelay,m,Heats,3,1,3,,408,NETHERLANDS,9027,NED,6:58.986,Q,
2016-2017,ISU European Short Track Speed Skating Championships 2017,5000mRelay,m,Heats,3,2,2,,405,GREATBRITAIN,9019,GBR,7:02.014,Q,
2016-2017,ISU European Short Track Speed Skating Championships 2017,5000mRelay,m,Heats,3,3,1,,401,BELGIUM,9013,BEL,7:02.189,q,
