season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1,1,4,,150,JUNGHokYoung,9266,KOR,2:15.238,QA,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1,2,7,,138,SIGHELPietro,9251,ITA,2:15.827,QA,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1,3,2,,142,MIYATAShogo,9460,JPN,2:16.106,qA,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1,4,5,,174,AlekseySIMAKIN,9560,RUS,2:16.611,QB,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1,5,3,,173,MILOVANOVSergei,9289,RUS,2:18.618,qB,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1,6,6,,164,deROSEEthan,9281,NZL,2:19.923,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,1,PEN,1,,113,DANDJINOUWilliam,9511,CAN,PEN,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,2,1,4,,120,WANGPengyu,9231,CHN,2:20.162,QA,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,2,2,6,,143,YOSHINAGAKazuki,8745,JPN,2:20.548,QA,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,2,3,3,,119,SUNLong,9454,CHN,2:20.630,QB,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,2,4,2,,146,SHAMUKHANOVYerkebulan,8672,KAZ,2:22.187,QB,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,2,5,1,,137,PietroMARINELLI,9249,ITA,2:22.440,qB,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,2,6,7,,126,TREACYNiall,9390,GBR,2:23.232,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,2,PEN,5,,151,KIMTaeSung,9540,KOR,PEN,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,3,1,1,,149,CHANGHyunWoo,9539,KOR,2:21.082,QA,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,3,2,2,,115,NicolasPERREAULT,9513,CAN,2:21.948,QA,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,3,3,6,,172,DaniilKRASNOKUTSKII,9558,RUS,2:22.154,QB,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,3,4,4,,117,LIWenlong,9453,CHN,2:22.643,QB,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,3,5,5,,153,KRUZBERGSRoberts,9117,LAT,2:25.675,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,3,6,3,,132,BONTOVICSBalazs,9394,HUN,notime,,
2018-2019,ISU World Junior Short Track Championships 2019 - Montreal (CAN),1500m,m,Semifinals,3,PEN,7,,160,ROESSven,9487,NED,PEN,,
