season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),5000mRelay,m,Quarterfinals,1,1,4,,409,KOREA,9026,KOR,6:40.501,Q
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),5000mRelay,m,Quarterfinals,1,2,1,,412,RUSSIA,9029,RUS,6:40.971,Q
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),5000mRelay,m,Quarterfinals,1,3,2,,407,JAPAN,9024,JPN,6:41.938,q
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),5000mRelay,m,Quarterfinals,1,4,3,,414,BELARUS,9014,BLR,7:14.857,
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),5000mRelay,m,Quarterfinals,2,1,2,,410,NETHERLANDS,9027,NED,6:46.374,Q
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),5000mRelay,m,Quarterfinals,2,2,4,,401,CANADA,9016,CAN,6:47.362,Q
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),5000mRelay,m,Quarterfinals,2,3,3,,411,POLAND,9028,POL,6:55.887,
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),5000mRelay,m,Quarterfinals,2,4,1,,408,KAZAKHSTAN,9025,KAZ,6:58.784,
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),5000mRelay,m,Quarterfinals,3,2,3,,402,CHINA,9022,CHN,6:41.814,Q
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),5000mRelay,m,Quarterfinals,3,3,1,,406,ITALY,9023,ITA,6:45.095,q
2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),5000mRelay,m,Quarterfinals,3,4,4,,415,UKRAINE,9031,UKR,7:20.378,
