season,competition,event,gender,round,race,Place,Start Pos.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.
2019-2020,ISU World Cup 2019/20 - Dresden (GER),5000mRelay,m,Quarterfinals,1,2,3,,215,NETHERLANDS,9027,NED,6:46.420,Q
2019-2020,ISU World Cup 2019/20 - Dresden (GER),5000mRelay,m,Quarterfinals,1,3,4,,203,BELGIUM,9013,BEL,6:47.668,q
2019-2020,ISU World Cup 2019/20 - Dresden (GER),5000mRelay,m,Quarterfinals,1,4,2,,204,CANADA,9016,CAN,6:54.023,
2019-2020,ISU World Cup 2019/20 - Dresden (GER),5000mRelay,m,Quarterfinals,2,1,1,,209,HUNGARY,9021,HUN,6:48.005,Q
2019-2020,ISU World Cup 2019/20 - Dresden (GER),5000mRelay,m,Quarterfinals,2,2,2,,205,CHINA,9022,CHN,6:48.154,Q
2019-2020,ISU World Cup 2019/20 - Dresden (GER),5000mRelay,m,Quarterfinals,2,3,4,,212,KAZAKHSTAN,9025,KAZ,6:48.439,
2019-2020,ISU World Cup 2019/20 - Dresden (GER),5000mRelay,m,Quarterfinals,2,4,3,,206,FRANCE,9018,FRA,6:49.498,
2019-2020,ISU World Cup 2019/20 - Dresden (GER),5000mRelay,m,Quarterfinals,3,1,1,,213,KOREA,9026,KOR,6:40.357,Q
2019-2020,ISU World Cup 2019/20 - Dresden (GER),5000mRelay,m,Quarterfinals,3,2,2,,211,JAPAN,9024,JPN,6:41.404,Q
2019-2020,ISU World Cup 2019/20 - Dresden (GER),5000mRelay,m,Quarterfinals,3,3,3,,210,ITALY,9023,ITA,6:41.564,q
2019-2020,ISU World Cup 2019/20 - Dresden (GER),5000mRelay,m,Quarterfinals,3,4,4,,220,UNITEDSTATES,9032,USA,6:52.099,
