season,competition,event,gender,round,race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,1,1,2,,5,ShaoangLIU,8564,HUN,2:19.619,QA,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,1,2,5,,27,ViktorKNOCH,6177,HUN,2:19.719,QA,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,1,3,7,,144,VictorAN,8344,RUS,2:19.844,QB,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,1,4,1,,83,SHULGINOVAlexander,8752,RUS,2:20.044,QB,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,1,5,3,,22,JensALMEY,8595,BEL,2:20.523,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,1,6,6,,40,VincentJEANNE,7890,FRA,2:21.658,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,1,7,4,,162,FiratYARDIMCI,8520,TUR,2:22.066,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2,1,3,,3,ShaolinSandorLIU,7928,HUN,2:19.138,QA,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2,3,1,,182,BartoszKONOPKO,7169,POL,2:20.075,QB,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2,4,2,,65,ThibautFAUCONNET,6785,FRA,2:20.400,QB,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2,5,5,,80,JoshuaCHEETHAM,7925,GBR,2:20.912,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2,6,8,,205,NEMIRONikita,9212,UKR,2:23.275,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2,7,4,,84,CASSINELLIAndrea,7741,ITA,2:23.279,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,2,8,7,,81,TREACYFarrell,8392,GBR,notime,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,3,1,1,,62,KNEGTSjinkie,7352,NED,2:22.731,QA,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,3,2,7,,15,BYKANOVVladislav,6178,ISR,2:23.207,QA,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,3,3,4,,179,HOOGERWERFDylan,8497,NED,2:23.343,QB,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,3,4,6,,43,DOTTITommaso,7604,ITA,2:23.443,QB,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,3,5,3,,14,LEPAPESebastien,7554,FRA,2:23.606,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,3,6,2,,39,EdinBRANKOVIC,7256,BIH,2:25.616,,
2016-2017,ISU European Short Track Speed Skating Championships 2017,1500m,m,Semifinals,3,7,5,,86,BREEUWSMADaan,7218,NED,2:25.704,,
