season,competition,event,instance_of_event_in_competition,gender,round,race,Place,Start Pos.,Warn.,Relay Team,#,Name,ISU ID,ISU Member,Results,Qual.,lap,laptime,lap_start_position,lap_end_position,position_change
2009-2010,"ISU World Cup 2009/2010, USA, Marquette",500m,-1,w,Pre-Preliminaries,12,2,3,,,241.0,AriannaFONTANA,6227,ITA,"
						45.100 
					",Q,2,9.73,1.0,3.0,-2.0
2009-2010,"ISU World Cup 2009/2010, USA, Marquette",500m,-1,w,Pre-Preliminaries,12,2,3,,,241.0,AriannaFONTANA,6227,ITA,"
						45.100 
					",Q,3,9.09,3.0,3.0,-0.0
2009-2010,"ISU World Cup 2009/2010, USA, Marquette",500m,-1,w,Pre-Preliminaries,12,2,3,,,241.0,AriannaFONTANA,6227,ITA,"
						45.100 
					",Q,4,9.33,3.0,2.0,1.0
2009-2010,"ISU World Cup 2009/2010, USA, Marquette",500m,-1,w,Pre-Preliminaries,12,2,3,,,241.0,AriannaFONTANA,6227,ITA,"
						45.100 
					",Q,5,9.58,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Pre-Preliminaries,5,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:35.936 
					",Q,1,13.27,2.0,1.0,1.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Pre-Preliminaries,5,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:35.936 
					",Q,2,10.58,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Pre-Preliminaries,5,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:35.936 
					",Q,3,10.91,1.0,2.0,-1.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Pre-Preliminaries,5,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:35.936 
					",Q,4,11.15,2.0,1.0,1.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Pre-Preliminaries,5,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:35.936 
					",Q,5,10.47,1.0,2.0,-1.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Pre-Preliminaries,5,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:35.936 
					",Q,6,10.11,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Pre-Preliminaries,5,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:35.936 
					",Q,7,9.91,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Pre-Preliminaries,5,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:35.936 
					",Q,8,9.6,2.0,1.0,1.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Pre-Preliminaries,5,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:35.936 
					",Q,9,9.94,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Preliminaries,1,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:40.529 
					",Q,1,13.71,2.0,2.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Preliminaries,1,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:40.529 
					",Q,2,11.17,2.0,1.0,1.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Preliminaries,1,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:40.529 
					",Q,3,11.52,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Preliminaries,1,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:40.529 
					",Q,4,11.53,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Preliminaries,1,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:40.529 
					",Q,5,11.15,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Preliminaries,1,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:40.529 
					",Q,6,10.87,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Preliminaries,1,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:40.529 
					",Q,7,10.5,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Preliminaries,1,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:40.529 
					",Q,8,10.16,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Preliminaries,1,1,2,,,50.0,AriannaFONTANA,6227,ITA,"
						1:40.529 
					",Q,9,9.92,1.0,1.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Heats,7,1,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:34.355 
					",Q,1,13.36,4.0,3.0,1.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Heats,7,1,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:34.355 
					",Q,2,10.49,3.0,3.0,-0.0
2009-2010,"ISU World Cup 2009/2010, CAN, Montreal",1000m,-1,w,Heats,7,1,4,,,50.0,AriannaFONTANA,6227,ITA,"
						1:34.355 
					",Q,3,10.7,3.0,3.0,-0.0
