race,Rank,Name,ISU ID,ISU Member,Final Points,SF,CDR,Highest Rank,Time
0,1,LIMHyoJun,9324,KOR,102,,,,
0,2,HWANGDaeHeon,9115,KOR,55,,,,
0,3,SemenELISTRATOV,7293,RUS,44,,,,
0,4,SamuelGIRARD,8600,CAN,29,,,,
0,5,WUDajing,7729,CHN,22,,,,
0,6,WATANABEKeita,7605,JPN,21,3,,,
0,7,LEEJuneSeo,9370,KOR,21,4,,,
0,8,RENZiwei,8601,CHN,19,,,,
0,9,DUBOISSteven,9092,CAN,10,,,,
0,10,ShaolinSandorLIU,7928,HUN,5,,34,,
0,11,DOTTITommaso,7604,ITA,5,,50,,
0,12,XUHongzhi,8070,CHN,3,,,,
0,13,CONFORTOLAYuri,6561,ITA,2,,64,,
0,14,KIKUCHIKota,8620,JPN,2,,87,,
0,15,LUEDTKEAdrian,9104,GER,1,,62,,
0,16,deLAATItzhak,7746,NED,1,,87,,
0,17,DESMETStijn,8706,BEL,,,39,,
0,18,HAMELINCharles,6610,CAN,,,41,,
0,19,SHULGINOVAlexander,8752,RUS,,,45,,
0,20,CsabaBURJAN,7738,HUN,,,49,,
0,21,LEPAPESebastien,7554,FRA,,,52,,
0,22,TRANAaron,8528,USA,,,59,,
0,23,YOSHINAGAKazuki,8745,JPN,,,64,,
0,24,BYKANOVVladislav,6178,ISR,,,75,,
0,25,BLUNDENKeanu,8593,AUS,,,78,,
0,26,FiratYARDIMCI,8520,TUR,,,85,,
0,27,KRUZBERGSRoberts,9117,LAT,,,86,13,2:19.264
0,28,ThomasInsukHONG,8084,USA,,,86,13,2:19.339
0,29,GALIAKHMETOVAdil,9260,KAZ,,,89,,
0,30,ThibautFAUCONNET,6785,FRA,,,91,,
0,31,NurbergenZHUMAGAZIYEV,7349,KAZ,,,95,,
0,32,HOOGERWERFDylan,8497,NED,,,96,12,
0,33,AlexVARNYU,8337,HUN,,,96,30,
0,34,KOLENCMartin,8604,CRO,,,99,,
0,35,SITNIKOVPavel,9133,RUS,,,100,,
0,36,HANDEIOleh,9073,UKR,,,103,26,
0,37,HANDEIVolodymyr,8525,UKR,,,103,27,
0,38,SeanMcANUFF,9198,IRL,,,104,,
0,39,ANDERMANNDominic,8078,AUT,,,107,,
0,40,ReinisBERZINS,9267,LAT,,,108,,
0,41,TrevorXuXuanTAN,9420,SGP,,,109,,
0,42,NicolasLABORDE,9096,COL,,,115,,
0,43,GEORGIEVDimitar,8541,BUL,,,117,,
0,44,PETREWard,8708,BEL,,,122,,
0,45,deROSEEthan,9281,NZL,,,125,,
0,46,JUNGHyunWoo(Andy),8575,AUS,,,126,,
0,47,YauheniRYZHOU,7772,BLR,,,129,,
0,48,AugustinGERE,9270,LUX,,,130,,
0,49,TarikOMERAGIC,8533,BIH,,,133,38,
0,50,FAJKUSRadek,9335,CZE,,,133,41,
0,51,LINChun-Chieh,8756,TPE,,,137,,
0,52,HazimSHAHRUM,9272,MAS,,,143,,
0,53,KaloyanANGELOV,9221,BUL,,,145,,
0,54,DJORDJEVICJovan,9295,SRB,,,147,44,
0,55,ARADHYAAkash,7739,IND,,,147,46,
0,56,TREACYFarrell,8392,GBR,,,174,,
