race,Rank,Name,ISU ID,ISU Member,Final Points,SF,CDR,Highest Rank,Time
0,1,SCHULTINGSuzanne,8493,NED,76,,,,
0,2,PROSVIRNOVASofia,8509,RUS,57,,,,
0,3,CHRISTIEElise,7135,GBR,47,,,,
0,4,MALISZEWSKANatalia,8437,POL,42,,,,
0,5,DESMETHanne,8699,BEL,29,,,,
0,6,HUOTMARCHANDTifany,7976,FRA,28,,,,
0,7,vanRUIJVENLara,7710,NED,24,,,,
0,8,VALCEPINAMartina,7159,ITA,23,,,,
0,9,PetraJASZAPATI,8611,HUN,7,,,,
0,10,EFREMENKOVAEkaterina,8750,RUS,5,,,,
0,11,SIGHELArianna,8088,ITA,3,,,,
0,12,BACSKAISaraLuca,8609,HUN,2,,36,,
0,13,AnnaSEIDEL,8562,GER,2,,52,,
0,14,PIERRONVeronique,6196,FRA,1,,35,,
0,15,KONSTANTINOVAEkaterina,8510,RUS,1,,42,,
0,16,vanKERKHOFYara,7422,NED,,,27,,
0,17,CeciliaMAFFEI,6559,ITA,,,42,,
0,18,THOMSONKathryn,8465,GBR,,,50,,
0,19,MichaelaKUNCIROVA,8552,CZE,,,55,,
0,20,RUSNAKOVAPetra,9297,SVK,,,58,,
0,21,MAZURNicole,8421,POL,,,62,,
0,22,MariyaIZAFATAVA,8651,BLR,,,65,,
0,23,UZAKOVAMariia-Mahdalyna,8759,UKR,,,67,,
0,24,MiladaDOSLA,8729,CZE,,,69,,
0,25,FILIPOVALucia,9426,SVK,,,70,,
0,26,TALAYEVAVolha,6792,BLR,,,71,,
0,27,DANNEELAlexandra,9320,BEL,,,86,,
0,28,PENCHEVAZornica,8461,BUL,,,87,,
0,29,ASCICValentina,8603,CRO,,,88,,
0,30,MANOILOVAKatrin,8539,BUL,,,90,26,
0,31,BURICKatarina,8550,CRO,,,90,27,
0,32,SOMOGYIBarbara,9392,HUN,,,91,,
0,33,DOLGOPOLOVAMariya,8096,UKR,,,93,,
