race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.
0,1,1,,163,LEEYuBin,9112,KOR,1:31.381,Q
0,2,3,,29,MALISZEWSKANatalia,8437,POL,1:31.437,Q
0,3,2,,9,VALCEPINAMartina,7159,ITA,1:31.543,
0,4,4,,16,MASCITTOCynthia,9193,ITA,1:31.750,
0,5,5,,79,STORMOWSKAKamila,9008,POL,notime,
1,1,1,,4,vanRUIJVENLara,7710,NED,1:30.632,Q
1,2,3,,76,MANOILOVAKatrin,8539,BUL,1:32.695,Q
1,3,4,,117,DOAKRikki,9601,CAN,2:01.093,ADV
1,DNS,5,,35,UZAKOVAMariia-Mahdalyna,8759,UKR,DNS,
1,PEN,2,,71,KAMINAGAShione,8743,JPN,PEN,
2,1,4,,20,QUChunyu,8071,CHN,1:30.118,Q
2,2,1,,45,ZHANGChutong,9452,CHN,1:30.232,Q
2,3,3,,6,PROSVIRNOVASofia,8509,RUS,1:30.288,q
2,4,2,,68,KIKUCHIMoemi,7584,JPN,1:30.432,
2,5,5,,50,MONVOISINAurelie,8556,FRA,1:30.897,
2,6,6,,31,MAZURNicole,8421,POL,notime,
3,1,1,,118,ZHANGYuting,9331,CHN,1:31.302,Q
3,2,3,,17,SANTOSKristen,8527,USA,1:31.380,Q
3,3,4,,122,KONYAZsofia,7701,HUN,1:31.477,
3,4,5,,66,WATANABEAoi,8744,JPN,1:31.611,
3,5,6,,57,ZAKHAROVAEvgeniya,7715,RUS,1:35.821,
3,6,2,,26,CHARLESAlyson,8722,CAN,1:36.496,
