race,Rank,Name,ISU ID,ISU Member,Final Points,SF,CDR,Highest Rank,Time
0,1,HWANGDaeHeon,9115,KOR,103,,,,
0,2,DUBOISSteven,9092,CAN,65,,,,
0,3,PARKJiWon,8765,KOR,47,,,,
0,4,KIMDagyeom,8766,KOR,37,,,,
0,5,ThomasInsukHONG,8084,USA,31,,,,
0,6,HAMELINCharles,6610,CAN,23,,,,
0,7,ANKai,9168,CHN,18,,,,
0,8,LIWenlong,9453,CHN,8,,,,
0,9,SONGJiaHua,9612,CHN,5,,,,
0,10,KiichiSHIGEHIRO,9110,JPN,3,,26,,
0,11,NicolasLABORDE,9096,COL,3,,36,,
0,12,DANDJINOUWilliam,9511,CAN,1,,,,
0,13,PIVIROTTORyan,8650,USA,,,30,,
0,14,KOIKEKatsunori,9254,JPN,,,39,,
0,15,HEOAndrew,9443,USA,,,41,,
0,16,JulianMACARAEG,9462,PHI,,,47,,
0,17,HirokiYOKOYAMA,7932,JPN,,,48,,
0,18,MarcGONZALES,9409,PHI,,,50,,
0,19,JingFengXU,9562,SGP,,,54,,
