race,Place,Start Pos.,Warn.,#,Name,ISU ID,ISU Member,Results,Qual.,Points
0,1,2,,107,SOMOGYIBarbara,9392,HUN,1:38.824,,
0,2,4,,84,DANNEELAlexandra,9320,BEL,1:39.319,,
0,3,1,,81,PENCHEVAZornica,8461,BUL,1:39.389,,
0,4,3,,67,DOLGOPOLOVAMariya,8096,UKR,1:39.481,,
1,1,3,,127,MAZURNicole,8421,POL,1:38.922,,
1,2,1,,79,ASCICValentina,8603,CRO,1:39.332,,
1,3,4,,39,BURICKatarina,8550,CRO,1:39.478,,
1,PEN,2,,147,FILIPOVALucia,9426,SVK,PEN,,
2,1,4,,89,RUSNAKOVAPetra,9297,SVK,1:40.245,,
2,2,3,,36,UZAKOVAMariia-Mahdalyna,8759,UKR,1:40.383,,
2,3,2,,137,TALAYEVAVolha,6792,BLR,1:40.577,,
2,4,1,,34,MichaelaKUNCIROVA,8552,CZE,1:40.932,,
