race,Rank,Name,ISU ID,ISU Member,Final Points,SF,CDR,Highest Rank,Time
0,1,ShaoangLIU,8564,HUN,77,,,,
0,2,ShaolinSandorLIU,7928,HUN,75,,,,
0,3,SemenELISTRATOV,7293,RUS,65,,,,
0,4,deLAATItzhak,7746,NED,50,,,,
0,5,DESMETStijn,8706,BEL,34,,,,
0,6,BYKANOVVladislav,6178,ISR,23,,,,
0,7,BREEUWSMADaan,7218,NED,8,,,,
0,8,CONFORTOLAYuri,6561,ITA,7,,,,
0,9,SITNIKOVPavel,9133,RUS,3,,25,,
0,10,ANIKEJRafal,8749,POL,3,,29,,
0,11,MIGUNOVDmitry,9334,FRA,2,,,,
0,12,KRUZBERGSRoberts,9117,LAT,1,,,,
0,13,SHULGINOVAlexander,8752,RUS,,,30,,
0,14,FERCOQQuentin,8605,FRA,,,45,,
0,15,LEPAPESebastien,7554,FRA,,,46,,
0,16,ColeWilliamIsaacKRUEGER,9329,HUN,,,48,,
0,17,VANHOORENRino,8721,BEL,,,59,,
0,18,TREACYNiall,9390,GBR,,,61,,
0,19,ReinisBERZINS,9267,LAT,,,62,,
0,20,CASSINELLIAndrea,7741,ITA,,,69,,
0,21,DOTTITommaso,7604,ITA,,,71,,
0,22,TarikOMERAGIC,8533,BIH,,,73,,
0,23,SEJPALZdenek,9336,CZE,,,79,,
0,24,HANDEIOleh,9073,UKR,,,81,17,
0,25,ANDERMANNNico,8720,AUT,,,81,23,
0,26,LUEDTKEAdrian,9104,GER,,,82,,
0,27,TREACYFarrell,8392,GBR,,,83,,
0,28,FurkanAKAR,9434,TUR,,,87,26,2:19.842
0,29,ADAMSKIPawel,9284,POL,,,87,26,2:27.922
0,30,LAHIMAKHAYIvan,8652,BLR,,,90,,
0,31,MARTINICIvan,8700,CRO,,,91,18,
0,32,KAUFMANN-LUDWIGLeon,8391,GER,,,91,22,
0,33,TunaySIMSEK,8758,TUR,,,91,27,
0,34,RyanMcANUFF,9197,IRL,,,93,24,
0,35,SeanMcANUFF,9198,IRL,,,93,25,
0,36,KOLENCMartin,8604,CRO,,,101,,
0,37,ThibaultMETRAUX,9563,SUI,,,103,26,
0,38,GEORGIEVDimitar,8541,BUL,,,103,32,
0,39,FAJKUSRadek,9335,CZE,,,105,29,
0,40,MURPHYPeter,9269,LUX,,,105,32,
0,41,ANDERMANNDominic,8078,AUT,,,109,,
0,42,DJORDJEVICJovan,9295,SRB,,,116,,
0,43,SLABODNIKArtsemi,9087,BLR,,,119,,
0,44,AugustinGERE,9270,LUX,,,124,,
