race,Rank,Name,ISU ID,ISU Member,Final Points,SF,CDR,Highest Rank,Time
0,1,SCHULTINGSuzanne,8493,NED,81,,,,
0,2,CHOIMinJeong,8625,KOR,76,,,,
0,3,KimBOUTIN,8542,CAN,37,,,,
0,4,vanRUIJVENLara,7710,NED,34,,,,
0,5,KIMJiYoo,8764,KOR,29,,,,
0,6,PROSVIRNOVASofia,8509,RUS,26,,,,
0,7,FANKexin,7694,CHN,24,,,,
0,8,ZANGYize,8725,CHN,13,,,,
0,9,VALCEPINAMartina,7159,ITA,5,,39,,
0,10,DESMETHanne,8699,BEL,5,,74,,
0,11,AnnaSEIDEL,8562,GER,3,,36,,
0,12,deVRIESRianne,8333,NED,3,,44,,
0,13,PIERRONVeronique,6196,FRA,3,,59,,
0,14,CHRISTIEElise,7135,GBR,2,,,,
0,15,EFREMENKOVAEkaterina,8750,RUS,1,,,,
0,16,MASCITTOCynthia,9193,ITA,,,41,9,
0,17,SANTOSKristen,8527,USA,,,41,12,
0,18,PetraJASZAPATI,8611,HUN,,,49,,
0,19,HUOTMARCHANDTifany,7976,FRA,,,56,,
0,20,QUChunyu,8071,CHN,,,61,,
0,21,HIRAIAmi,8618,JPN,,,66,,
0,22,IongAKIM,9192,KAZ,,,68,,
0,23,SARAULTCourtneyLee,9223,CAN,,,73,,
0,24,BINEYMaame,9144,USA,,,76,,
0,25,THOMSONKathryn,8465,GBR,,,78,,
0,26,CHARLESAlyson,8722,CAN,,,79,14,
0,27,BACSKAISaraLuca,8609,HUN,,,79,17,
0,28,KIKUCHISumire,7980,JPN,,,79,20,
0,29,MALISZEWSKANatalia,8437,POL,,,80,11,
0,30,RUSNAKOVAPetra,9297,SVK,,,80,24,
0,31,MAZURNicole,8421,POL,,,81,,
0,32,SEJPALOVA-HRUZOVAMichaela,8553,CZE,,,88,,
0,33,FILIPOVALucia,9426,SVK,,,89,,
0,34,PENCHEVAZornica,8461,BUL,,,93,,
0,35,UZAKOVAMariia-Mahdalyna,8759,UKR,,,95,,
0,36,YAKIMOVAAnna,8702,BUL,,,96,,
0,37,CheyenneGOH,9291,SGP,,,97,29,2:33.316
0,38,MariyaIZAFATAVA,8651,BLR,,,97,29,2:47.587
0,39,SHIMSukHee,8092,KOR,,,99,,
0,40,AnjaCHONG,8064,MAS,,,105,,
0,41,LiliaDZHUSTROVA,7957,BUL,,,111,,
0,42,ASCICValentina,8603,CRO,,,112,,
